[LIGHT BLUE] UMP-45 | Carbon Fiber (Factory-New)
[BLUE] Galil AR | Tuxedo (Field-Tested)
[LIGHT BLUE] G3SG1 | Green Apple (Well-Worn)
[WHITE] Tec-9 | Urban DDPAT (Minimal-Wear)
[WHITE] Tec-9 | Urban DDPAT (Battle-Scarred)
[WHITE] SG 553 | Army Sheen (Factory-New)
[LIGHT BLUE] Nova | Caged Steel (Minimal-Wear)
[WHITE] SG 553 | Army Sheen (Factory-New)
[WHITE] SG 553 | Army Sheen (Factory-New)
[WHITE] Sawed-Off | Forest DDPAT (Well-Worn)
[LIGHT BLUE] MAC-10 | Silver (Battle-Scarred)
[WHITE] Tec-9 | Urban DDPAT (Well-Worn)
[WHITE] Sawed-Off | Forest DDPAT (Battle-Scarred)
[WHITE] Tec-9 | Urban DDPAT (Well-Worn)
[BLUE] CZ75-Auto | Tuxedo (Factory-New)
[WHITE] Tec-9 | Urban DDPAT (Well-Worn)
[WHITE] Negev | Army Sheen (Factory-New)
[WHITE] Tec-9 | Urban DDPAT (Minimal-Wear)
[WHITE] SG 553 | Army Sheen (Battle-Scarred)
[WHITE] R8 Revolver | Bone Mask (Field-Tested)
